CODPROD,NUMPOL,FECINIVIG,MTOOPER,CODPLAN,Mes
AUKM,1880,2025-04-12 0:00:00,2082.99,4 MIL KM,4
AUKM,774,2025-04-15 0:00:00,1825.89,2 MIL KM,4
AUKM,1884,2025-04-15 0:00:00,443.33,2 MIL KM,4
AUKM,1886,2025-04-15 0:00:00,443.33,2 MIL KM,4
AUKM,1883,2025-04-15 0:00:00,1579.86,4 MIL KM,4
AUKM,1885,2025-04-15 0:00:00,1642.26,4 MIL KM,4
AUKM,1888,2025-04-17 0:00:00,572.42,2 MIL KM,4
AUKM,1569,2025-04-17 0:00:00,609.92,2 MIL KM,4
AUKM,1887,2025-04-17 0:00:00,1209.86,4 MIL KM,4
AUKM,1889,2025-04-17 0:00:00,1066.86,4 MIL KM,4
AUKM,756,2025-04-18 0:00:00,533.34,2 MIL KM,4
AUKM,1519,2025-04-19 0:00:00,699.93,2 MIL KM,4
AUKM,692,2025-04-20 0:00:00,6700.77,6 MIL KM,4
AUKM,792,2025-04-20 0:00:00,1600,6 MIL KM,4
AUKM,1895,2025-04-23 0:00:00,2106.98,6 MIL KM,4
AUKM,1897,2025-04-24 0:00:00,443.33,2 MIL KM,4
AUKM,1898,2025-04-24 0:00:00,539.92,2 MIL KM,4
AUKM,501,2025-04-24 0:00:00,1600,6 MIL KM,4
AUKM,1899,2025-04-25 0:00:00,980.07,2 MIL KM,4
AUKM,1901,2025-04-25 0:00:00,1389.92,2 MIL KM,4
AUKM,1902,2025-04-25 0:00:00,443.33,2 MIL KM,4
AUKM,1900,2025-04-25 0:00:00,1444.55,6 MIL KM,4
AUKM,1903,2025-04-26 0:00:00,922,2 MIL KM,4
AUKM,803,2025-04-26 0:00:00,1066.67,4 MIL KM,4
AUKM,6,2025-04-27 0:00:00,977.85,2 MIL KM,4
AUKM,1906,2025-04-29 0:00:00,669.92,2 MIL KM,4
AUKM,1907,2025-04-29 0:00:00,949.92,2 MIL KM,4
AUKM,1908,2025-04-29 0:00:00,494.51,2 MIL KM,4
AUKM,1909,2025-04-29 0:00:00,2156.69,4 MIL KM,4
AUKM,1910,2025-04-29 0:00:00,2811.93,MOTO 6MIL KM,4
AUKM,1911,2025-04-30 0:00:00,1195.03,2 MIL KM,4
AUKM,1912,2025-05-01 0:00:00,544.47,2 MIL KM,5
AUKM,1141,2025-05-01 0:00:00,2569.86,4 MIL KM,5
AUKM,1915,2025-05-01 0:00:00,1919.78,6 MIL KM,5
AUKM,811,2025-05-02 0:00:00,604.92,2 MIL KM,5
AUKM,770,2025-05-02 0:00:00,533.34,2 MIL KM,5
AUKM,1298,2025-05-02 0:00:00,1162.1,2 MIL KM,5
AUKM,1040,2025-05-02 0:00:00,1079.86,4 MIL KM,5
AUTO,509210,2025-05-02 0:00:00,3200,Todo Riesgo,5
AUKM,1400,2025-05-03 0:00:00,604.92,2 MIL KM,5
AUKM,1921,2025-05-03 0:00:00,443.33,2 MIL KM,5
AUKM,1923,2025-05-03 0:00:00,1279.57,2 MIL KM,5
AUKM,1924,2025-05-03 0:00:00,789.92,2 MIL KM,5
AUKM,1925,2025-05-03 0:00:00,544.47,2 MIL KM,5
AUKM,1926,2025-05-03 0:00:00,2189.78,6 MIL KM,5
AUKM,1929,2025-05-04 0:00:00,729.92,2 MIL KM,5
AUKM,1928,2025-05-04 0:00:00,1972.44,4 MIL KM,5
AUKM,1031,2025-05-06 0:00:00,789.93,2 MIL KM,5
AUKM,1931,2025-05-06 0:00:00,699.92,2 MIL KM,5
AUKM,1933,2025-05-06 0:00:00,1954.92,2 MIL KM,5
AUKM,1932,2025-05-06 0:00:00,1330.01,6 MIL KM,5
AUKM,1936,2025-05-07 0:00:00,729.92,2 MIL KM,5
AUKM,1934,2025-05-07 0:00:00,3188.49,4 MIL KM,5
AUKM,1935,2025-05-07 0:00:00,1219.86,4 MIL KM,5
AUKM,1937,2025-05-09 0:00:00,573.07,2 MIL KM,5
AUKM,1938,2025-05-09 0:00:00,911.04,4 MIL KM,5
AUKM,1105,2025-05-09 0:00:00,1759.85,4 MIL KM,5
AUKM,1940,2025-05-10 0:00:00,729.92,2 MIL KM,5
AUKM,1942,2025-05-10 0:00:00,443.33,2 MIL KM,5
AUTO,509625,2025-05-10 0:00:00,3200,Todo Riesgo,5
AUKM,11,2025-05-11 0:00:00,1066.67,4 MIL KM,5
AUKM,837,2025-05-11 0:00:00,1209.86,4 MIL KM,5
AUKM,1313,2025-05-12 0:00:00,1459.85,4 MIL KM,5
AUKM,1946,2025-05-13 0:00:00,572.42,2 MIL KM,5
AUKM,1947,2025-05-14 0:00:00,636.32,2 MIL KM,5
AUKM,761,2025-05-14 0:00:00,1954.95,2 MIL KM,5
AUKM,418,2025-05-14 0:00:00,1194.26,4 MIL KM,5
AUKM,1949,2025-05-14 0:00:00,3351.53,4 MIL KM,5
AUTO,509897,2025-05-14 0:00:00,11201.52,Todo Riesgo,5
AUKM,1951,2025-05-15 0:00:00,1079.98,2 MIL KM,5
AUKM,1952,2025-05-15 0:00:00,443.33,2 MIL KM,5
AUKM,25,2025-05-15 0:00:00,1239.75,2 MIL KM,5
AUKM,21,2025-05-15 0:00:00,2010.79,2 MIL KM,5
AUKM,1955,2025-05-16 0:00:00,741.92,2 MIL KM,5
AUKM,1956,2025-05-16 0:00:00,1089.5,2 MIL KM,5
AUKM,1958,2025-05-17 0:00:00,443.33,2 MIL KM,5
AUKM,816,2025-05-17 0:00:00,1209.86,4 MIL KM,5
AUTO,487029,2025-05-17 0:00:00,3449.99,Todo Riesgo,5
AUKM,854,2025-05-18 0:00:00,1216.04,2 MIL KM,5
AUKM,825,2025-05-18 0:00:00,543.92,2 MIL KM,5
AUKM,844,2025-05-18 0:00:00,609.92,2 MIL KM,5
AUKM,1963,2025-05-18 0:00:00,1209.86,4 MIL KM,5
AUKM,1968,2025-05-20 0:00:00,443.33,2 MIL KM,5
AUKM,249,2025-05-20 0:00:00,1195.45,2 MIL KM,5
AUKM,1967,2025-05-20 0:00:00,1131.86,4 MIL KM,5
